Region,Accounting,Communications,Entrepreneurship,Finance,Human Resources,Leadership,Marketing,Sales,"Strategy &
Operations",Cloud Computing,Computer Networking,Computer Programming,Databases,Mobile Development,Operating Systems,Security Engineering,Software Engineering,Theoretical Computer Science,Web Development,Data Analysis,Data Management,Data Visualization,Machine Learning,Mathematics,Probability & Statistics,Statistical Programming
United States,0.98,0.07,0.17,0.41,0.6,0.4,0.84,0.91,0.63,0.37,0.7,0.75,0.63,0.62,0.12,0.55,0.92,0.6,0.98,0.55,0.82,0.81,0.77,0.56,0.79,0.58
United States : West,0.96,0.12,0.12,0.44,0.67,0.38,0.83,0.81,0.64,0.45,0.67,0.91,0.83,0.74,0.07,0.52,0.98,0.8,1.0,0.54,0.95,0.95,0.93,0.72,0.88,0.78
United States : Midwest,1.0,0.15,0.72,0.57,0.79,0.88,1.0,1.0,0.85,0.41,0.77,0.58,0.23,0.43,0.09,0.51,0.76,0.48,0.21,0.65,0.77,0.73,0.71,0.47,0.83,0.51
United States : Northeast,0.87,0.02,0.04,0.4,0.34,0.16,0.63,0.62,0.4,0.35,0.66,0.74,0.94,0.63,0.13,0.58,0.87,0.69,0.38,0.47,0.88,0.7,0.74,0.68,0.76,0.57
United States : South,0.93,0.04,0.1,0.3,0.54,0.31,0.68,0.79,0.51,0.3,0.73,0.54,0.29,0.51,0.11,0.62,0.83,0.4,0.18,0.53,0.68,0.67,0.58,0.34,0.66,0.46
Canada,0.56,0.29,0.08,0.02,0.51,0.64,0.02,0.38,0.58,0.55,0.86,0.71,0.47,0.61,0.31,0.71,0.84,0.62,0.52,0.62,0.78,0.93,0.68,0.62,0.57,0.54
